Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-3,23,-22.6439819,8.2417354,2.0,FHNode222,Section-3_Node_23,0.25,0.035
Section-3,24,-23.51500116,5.31109723,2.0,FHNode223,Section-3_Node_24,0.25,0.035
Section-3,25,-24.00821868,2.29250692,2.0,FHNode224,Section-3_Node_25,0.25,0.035
Section-3,26,-24.11537807,-0.76551652,2.0,FHNode225,Section-3_Node_26,0.25,0.035
Section-3,27,-23.83443085,-3.81377864,2.0,FHNode226,Section-3_Node_27,0.25,0.035
Section-3,28,-23.16957465,-6.80320095,2.0,FHNode227,Section-3_Node_28,0.25,0.035
Section-3,29,-22.1311908,-9.68561103,2.0,FHNode228,Section-3_Node_29,0.25,0.035
Section-3,30,-20.73568247,-12.41451888,2.0,FHNode229,Section-3_Node_30,0.25,0.035
Section-3,31,-19.00521554,-14.9458667,2.0,FHNode230,Section-3_Node_31,0.25,0.035
Section-3,32,-16.9673667,-17.2387402,2.0,FHNode231,Section-3_Node_32,0.25,0.035
Section-3,33,-14.65468391,-19.25602989,2.0,FHNode232,Section-3_Node_33,0.25,0.035
Section-3,34,-12.10416667,-20.96503165,2.0,FHNode233,Section-3_Node_34,0.25,0.035
Section-3,35,-9.35667406,-22.33797691,2.0,FHNode234,Section-3_Node_35,0.25,0.035
Section-3,36,-6.45627022,-23.35248381,2.0,FHNode235,Section-3_Node_36,0.25,0.035
Section-3,37,-3.44951761,-23.99192199,2.0,FHNode236,Section-3_Node_37,0.25,0.035
Section-3,38,-0.38472959,-24.24568513,2.0,FHNode237,Section-3_Node_38,0.25,0.035
Section-3,39,2.68880598,-24.10936669,2.0,FHNode238,Section-3_Node_39,0.25,0.035
Section-3,40,5.72161932,-23.58483605,2.0,FHNode239,Section-3_Node_40,0.25,0.035
Section-3,41,8.66485499,-22.68021364,2.0,FHNode240,Section-3_Node_41,0.25,0.035
Section-3,42,11.47105892,-21.40974539,2.0,FHNode241,Section-3_Node_42,0.25,0.035
Section-3,43,14.09494347,-19.79357853,2.0,FHNode242,Section-3_Node_43,0.25,0.035
Section-3,44,16.49411831,-17.85744213,2.0,FHNode243,Section-3_Node_44,0.25,0.035
Section-3,45,18.62977528,-15.63223756,2.0,FHNode244,Section-3_Node_45,0.25,0.035
Section-3,46,20.46731607,-13.15354534,2.0,FHNode245,Section-3_Node_46,0.25,0.035
Section-3,47,21.97691273,-10.46105621,2.0,FHNode246,Section-3_Node_47,0.25,0.035
Section-3,48,23.1339918,-7.59793561,2.0,FHNode247,Section-3_Node_48,0.25,0.035
Section-3,49,23.91963429,-4.61013164,2.0,FHNode248,Section-3_Node_49,0.25,0.035
Section-3,50,24.3208849,-1.54563772,2.0,FHNode249,Section-3_Node_50,0.25,0.035
Section-3,51,24.33096558,1.54627836,2.0,FHNode250,Section-3_Node_51,0.25,0.035
Section-3,52,23.9493897,4.61586652,2.0,FHNode251,Section-3_Node_52,0.25,0.035
Section-3,53,23.18197519,7.61369487,2.0,FHNode252,Section-3_Node_53,0.25,0.035
Section-3,54,22.04075602,10.49144575,2.0,FHNode253,Section-3_Node_54,0.25,0.035
Section-3,55,20.54379366,13.20269451,2.0,FHNode254,Section-3_Node_55,0.25,0.035
Section-3,56,18.71489133,15.70365841,2.0,FHNode255,Section-3_Node_56,0.25,0.035
Section-3,57,16.5832155,17.95390367,2.0,FHNode256,Section-3_Node_57,0.25,0.035
Section-3,58,14.18283088,19.91699913,2.0,FHNode257,Section-3_Node_58,0.25,0.035
Section-3,59,11.55215597,21.56110607,2.0,FHNode258,Section-3_Node_59,0.25,0.035
Section-3,60,8.73334831,22.85949455,2.0,FHNode259,Section-3_Node_60,0.25,0.035
Section-3,61,5.77162879,23.7909779,2.0,FHNode260,Section-3_Node_61,0.25,0.035
Section-3,62,2.71455627,24.34025845,2.0,FHNode261,Section-3_Node_62,0.25,0.035
Section-3,63,-0.38873615,24.4981786,2.0,FHNode262,Section-3_Node_63,0.25,0.035
Section-3,64,-3.48833075,24.2618733,2.0,FHNode263,Section-3_Node_64,0.25,0.035
Section-3,65,-6.5343282,23.63482142,2.0,FHNode264,Section-3_Node_65,0.25,0.035
Section-3,66,-9.47765082,22.62679492,2.0,FHNode265,Section-3_Node_66,0.25,0.035
Section-3,67,-12.27083333,21.25370678,2.0,FHNode266,Section-3_Node_67,0.25,0.035
Section-3,68,-14.86878834,19.53735983,2.0,FHNode267,Section-3_Node_68,0.25,0.035
Section-3,69,-17.22953408,17.50510065,2.0,FHNode268,Section-3_Node_69,0.25,0.035
Section-3,70,-19.31487282,15.18938388,2.0,FHNode269,Section-3_Node_70,0.25,0.035
Section-3,71,-21.09100893,12.62725396,2.0,FHNode270,Section-3_Node_71,0.25,0.035
Section-3,72,-22.5290965,9.85975257,2.0,FHNode271,Section-3_Node_72,0.25,0.035
Section-3,73,-23.60570782,6.9312612,2.0,FHNode272,Section-3_Node_73,0.25,0.035
Section-3,74,-24.30321497,3.88878941,2.0,FHNode273,Section-3_Node_74,0.25,0.035
Section-3,75,-24.61007838,0.78122024,2.0,FHNode274,Section-3_Node_75,0.25,0.035
Section-3,76,-24.52103755,-2.34147519,2.0,FHNode275,Section-3_Node_76,0.25,0.035
Section-3,77,-24.03720095,-5.42904125,2.0,FHNode276,Section-3_Node_77,0.25,0.035
Section-3,78,-23.16603336,-8.43174659,2.0,FHNode277,Section-3_Node_78,0.25,0.035
Section-3,79,-21.92124093,-11.30118516,2.0,FHNode278,Section-3_Node_79,0.25,0.035
Section-3,80,-20.32255565,-13.99105657,2.0,FHNode279,Section-3_Node_80,0.25,0.035
Section-3,81,-18.39542263,-16.45791312,2.0,FHNode280,Section-3_Node_81,0.25,0.035
Section-3,82,-16.17059517,-18.66186165,2.0,FHNode281,Section-3_Node_82,0.25,0.035
Section-3,83,-13.683644,-20.56720859,2.0,FHNode282,Section-3_Node_83,0.25,0.035
Section-3,84,-10.97438865,-22.14303806,2.0,FHNode283,Section-3_Node_84,0.25,0.035
